31
0 0
16 16
256
0	0	0	666
1	0	1	666
2	0	2	666
3	0	3	666
4	0	4	666
5	0	5	666
6	0	6	666
7	0	7	666
8	0	8	666
9	0	9	666
10	0	10	666
11	0	11	666
12	0	12	666
13	0	13	666
14	0	14	666
15	0	15	666
16	1	0	666
17	1	1	666
18	1	2	666
19	1	3	666
20	1	4	666
21	1	5	666
22	1	6	666
23	1	7	666
24	1	8	666
25	1	9	666
26	1	10	666
27	1	11	666
28	1	12	666
29	1	13	666
30	1	14	666
31	1	15	666
32	2	0	666
33	2	1	666
34	2	2	666
35	2	3	666
36	2	4	666
37	2	5	666
38	2	6	666
39	2	7	666
40	2	8	666
41	2	9	666
42	2	10	666
43	2	11	666
44	2	12	666
45	2	13	666
46	2	14	666
47	2	15	666
48	3	0	666
49	3	1	666
50	3	2	666
51	3	3	666
52	3	4	666
53	3	5	666
54	3	6	666
55	3	7	666
56	3	8	666
57	3	9	666
58	3	10	666
59	3	11	666
60	3	12	666
61	3	13	666
62	3	14	666
63	3	15	666
64	4	0	666
65	4	1	666
66	4	2	666
67	4	3	666
68	4	4	666
69	4	5	666
70	4	6	666
71	4	7	666
72	4	8	666
73	4	9	666
74	4	10	666
75	4	11	666
76	4	12	666
77	4	13	666
78	4	14	666
79	4	15	666
80	5	0	666
81	5	1	666
82	5	2	666
83	5	3	666
84	5	4	666
85	5	5	666
86	5	6	666
87	5	7	666
88	5	8	666
89	5	9	666
90	5	10	666
91	5	11	666
92	5	12	666
93	5	13	666
94	5	14	666
95	5	15	666
96	6	0	666
97	6	1	666
98	6	2	666
99	6	3	666
100	6	4	666
101	6	5	666
102	6	6	666
103	6	7	666
104	6	8	666
105	6	9	666
106	6	10	666
107	6	11	666
108	6	12	666
109	6	13	666
110	6	14	666
111	6	15	666
112	7	0	666
113	7	1	666
114	7	2	666
115	7	3	666
116	7	4	666
117	7	5	666
118	7	6	666
119	7	7	666
120	7	8	666
121	7	9	666
122	7	10	666
123	7	11	666
124	7	12	666
125	7	13	666
126	7	14	666
127	7	15	666
128	8	0	666
129	8	1	666
130	8	2	666
131	8	3	666
132	8	4	666
133	8	5	666
134	8	6	666
135	8	7	666
136	8	8	666
137	8	9	666
138	8	10	666
139	8	11	666
140	8	12	666
141	8	13	666
142	8	14	666
143	8	15	666
144	9	0	666
145	9	1	666
146	9	2	666
147	9	3	666
148	9	4	666
149	9	5	666
150	9	6	666
151	9	7	666
152	9	8	666
153	9	9	666
154	9	10	666
155	9	11	666
156	9	12	666
157	9	13	666
158	9	14	666
159	9	15	666
160	10	0	666
161	10	1	666
162	10	2	666
163	10	3	666
164	10	4	666
165	10	5	666
166	10	6	666
167	10	7	666
168	10	8	666
169	10	9	666
170	10	10	666
171	10	11	666
172	10	12	666
173	10	13	666
174	10	14	666
175	10	15	666
176	11	0	666
177	11	1	666
178	11	2	666
179	11	3	666
180	11	4	666
181	11	5	666
182	11	6	666
183	11	7	666
184	11	8	666
185	11	9	666
186	11	10	666
187	11	11	666
188	11	12	666
189	11	13	666
190	11	14	666
191	11	15	666
192	12	0	666
193	12	1	666
194	12	2	666
195	12	3	666
196	12	4	666
197	12	5	666
198	12	6	666
199	12	7	666
200	12	8	666
201	12	9	666
202	12	10	666
203	12	11	666
204	12	12	666
205	12	13	666
206	12	14	666
207	12	15	666
208	13	0	666
209	13	1	666
210	13	2	666
211	13	3	666
212	13	4	666
213	13	5	666
214	13	6	666
215	13	7	666
216	13	8	666
217	13	9	666
218	13	10	666
219	13	11	666
220	13	12	666
221	13	13	666
222	13	14	666
223	13	15	666
224	14	0	666
225	14	1	666
226	14	2	666
227	14	3	666
228	14	4	666
229	14	5	666
230	14	6	666
231	14	7	666
232	14	8	666
233	14	9	666
234	14	10	666
235	14	11	666
236	14	12	666
237	14	13	666
238	14	14	666
239	14	15	666
240	15	0	666
241	15	1	666
242	15	2	666
243	15	3	666
244	15	4	666
245	15	5	666
246	15	6	666
247	15	7	666
248	15	8	666
249	15	9	666
250	15	10	666
251	15	11	666
252	15	12	666
253	15	13	666
254	15	14	666
255	15	15	666
